邻 接 关 系	0.000221	4
层 次 遍 历	0.000221	6
理 想 平 衡	0.000218	5
生 命 期 内	0.000218	4
x 2	0.000217	6
行 向 量	0.000217	18
素 数	0.000214	6
完 全 二 叉 堆	0.000214	11
所 介 绍	0.000213	5
栈 顶 运 算 符	0.000213	4
版 本 A	0.000213	8
再 自 然 不 过	0.000212	7
切 分	0.000209	6
方 括 号	0.000207	4
查 找 失 败	0.000206	5
第 二 种 情 况	0.000206	4
广 度 优 先 搜 索	0.000206	4
减 号	0.000205	6
递 推	0.000205	4
中 序 遍 历	0.000203	4
非 常 简 明	0.000203	4
节 点 v	0.000202	6
初 值	0.000197	7
树 根	0.000196	45
树 中	0.000196	11
序 列 中	0.000195	10
v e c t o r	0.000193	10
原 图	0.000189	8
左 右 子 树	0.000189	16
习 题 解 析	0.000186	10
刚 被 访 问	0.000184	10
渐 近	0.000184	33
适 度 平 衡	0.000183	12
奇 数	0.000183	8
更 小	0.000182	34
左 侧 分 支	0.000180	8
语 法 正 确	0.000179	12
后 序 遍 历 序 列	0.000177	6
整 棵 树	0.000175	17
算 法	0.000175	400
长 度 为 n	0.000175	21
f i n d	0.000174	8
歧 义	0.000174	6
待 删 除	0.000173	12
当 前 节 点	0.000173	27
嵌 套	0.000173	8
调 整 过 程	0.000172	7
图 结 构	0.000172	5
节 点 p	0.000171	8
上 界	0.000170	5
邻 接 顶 点	0.000169	6
最 好 情 况	0.000167	17
最 坏 情 况 下	0.000167	9
逐 层	0.000166	6
末 项	0.000166	8
局 部 性	0.000165	10
数 据 结 构 和 算 法	0.000165	7
正 如 我 们 所 看 到	0.000164	6
这 幅 图	0.000163	21
基 本 操 作	0.000163	13
目 标 关 键 码	0.000162	12
最 左 侧	0.000162	8
提 升 变 换	0.000159	7
n e x t 表	0.000158	18
先 序 遍 历 序 列	0.000157	9
d T i m e	0.000154	8
足 够 长	0.000154	13
最 靠 后	0.000154	7
连 通 域	0.000154	10
谦 让	0.000154	6
更 一 般	0.000149	15
我 们 已 经 看 到	0.000149	9
A D T	0.000149	7
子 树	0.000149	8
更 为 复 杂	0.000148	10
r o o t	0.000140	6
t a i l	0.000140	8
正 无 穷	0.000138	8
每 一 步 迭 代	0.000133	12
居 中	0.000132	10
这 棵 树	0.000131	34
完 全 匹 配	0.000131	8
对 外 可 见	0.000131	8
完 全 二 叉 树	0.000130	8
由 一 系 列	0.000130	14
失 衡	0.000128	20
计 算 机 科 学	0.000126	8
分 支 数	0.000125	8
D F S	0.000123	8
待 排 序	0.000121	10
一 棵 B S T	0.000115	8
新 生 成	0.000115	13
最 坏	0.000115	90
区 间	0.000114	52
初 始 为 空	0.000113	16
f T i m e	0.000112	15
最 末 尾	0.000112	8
次 序	0.000110	15
给 出 具 体	0.000109	8
它 所 对 应	0.000107	41
m a x	0.000105	10
不 匹 配	0.000104	14
N P L 值	0.000102	10
真 实 存 在	0.000101	11
4 阶 B 树	0.000099	10
整 数	0.000098	9
尚 未 访 问	0.000096	22
长 度 为 1	0.000093	12
右 侧	0.000091	50
插 入 算 法	0.000091	9
后 续	0.000090	16
区 段	0.000087	16
寄 存 器	0.000085	18
那 个 元 素	0.000083	11
接 口	0.000081	38
简 明	0.000078	50
度 量	0.000078	14
比 对	0.000069	20
等 效	0.000068	18
版 本	0.000061	24
插 入	0.000061	34
确 存	0.000061	42
后 继	0.000061	47
矩 阵	0.000060	19
不 折 不 扣	0.000057	21
左 侧	0.000055	38
假 想	0.000055	43
匹 配	0.000051	37
我 们 刚 才	0.000049	30
任 何 实 质	0.000049	18
长 度 为 7	0.000047	18
实 例	0.000037	22
无 序	0.000033	37
一 般 性	0.000027	30
对 应	0.000006	240
